ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""701.0218""","=""8.e+07""","=""5.e-03""",D,"=""3.044858""","=""20.731069""","=""3d6""","=""3G""","=""5""","=""3d5.(b 2G).4p""","=""3G*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""702.9075""","=""1.2e+08""","=""9.e-03""",D,"=""3.092305""","=""20.731069""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2G).4p""","=""3G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""703.5096""","=""1.6e+08""","=""9.e-03""",D,"=""3.092305""","=""20.715974""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2G).4p""","=""3G*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""704.9192""","=""1.8e+08""","=""1.0e-02""",D,"=""3.117226""","=""20.705654""","=""3d6""","=""3G""","=""3""","=""3d5.(b 2G).4p""","=""3F*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""705.8961""","=""1.0e+08""","=""6.e-03""",D,"=""3.044858""","=""20.608944""","=""3d6""","=""3G""","=""5""","=""3d5.(b 2G).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""707.4347""","=""1.5e+08""","=""1.1e-02""",D,"=""3.117226""","=""20.643111""","=""3d6""","=""3G""","=""3""","=""3d5.(b 2G).4p""","=""3F*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""707.8082""","=""6.e+07""","=""4.3e-03""",D,"=""3.092305""","=""20.608944""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2G).4p""","=""3F*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""726.6310""","=""9.e+08""","=""5.3e-02""",D+,"=""7.094525""","=""24.157407""","=""3d6""","=""b 1G""","=""4""","=""3d5.(c 2D).4p""","=""1F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""727.6809""","=""1.1e+08""","=""7.e-03""",D,"=""0.000000""","=""17.038266""","=""3d6""","=""5D""","=""4""","=""3d5.(4F).4p""","=""5D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""729.3493""","=""2.2e+08""","=""1.2e-02""",D,"=""0.054081""","=""17.053369""","=""3d6""","=""5D""","=""3""","=""3d5.(4F).4p""","=""5D*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""729.3913""","=""3.1e+07""","=""2.5e-03""",D,"=""2.660939""","=""19.659249""","=""3d6""","=""a 3F""","=""4""","=""3d5.(b 2D).4p""","=""3F*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""729.9979""","=""3.6e+08""","=""2.8e-02""",D,"=""0.054081""","=""17.038266""","=""3d6""","=""5D""","=""3""","=""3d5.(4F).4p""","=""5D*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""730.8750""","=""3.7e+08""","=""1.8e-02""",D,"=""0.091608""","=""17.055413""","=""3d6""","=""5D""","=""2""","=""3d5.(4F).4p""","=""5D*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""730.9630""","=""2.1e+08""","=""1.7e-02""",D,"=""0.091608""","=""17.053369""","=""3d6""","=""5D""","=""2""","=""3d5.(4F).4p""","=""5D*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""731.6145""","=""7.e+07""","=""7.e-03""",D,"=""0.091608""","=""17.038266""","=""3d6""","=""5D""","=""2""","=""3d5.(4F).4p""","=""5D*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""731.8466""","=""7.e+08""","=""1.8e-02""",D,"=""0.115618""","=""17.056900""","=""3d6""","=""5D""","=""1""","=""3d5.(4F).4p""","=""5D*""","=""0""",3,1,,"=""T6105""","=""L11223""",
"=""731.9992""","=""1.2e+08""","=""1.6e-02""",D,"=""0.115618""","=""17.053369""","=""3d6""","=""5D""","=""1""","=""3d5.(4F).4p""","=""5D*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""732.4187""","=""1.6e+08""","=""3.9e-02""",D,"=""0.12736""","=""17.055413""","=""3d6""","=""5D""","=""0""","=""3d5.(4F).4p""","=""5D*""","=""1""",1,3,,"=""T6105""","=""L11223""",
"=""733.1358""","=""1.4e+08""","=""7.e-03""",D,"=""2.709933""","=""19.621423""","=""3d6""","=""a 3F""","=""2""","=""3d5.(b 2D).4p""","=""3D*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""733.3012""","=""9.e+07""","=""1.0e-02""",D,"=""3.808296""","=""20.715974""","=""3d6""","=""3D""","=""2""","=""3d5.(b 2G).4p""","=""3G*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""733.7716""","=""3.9e+07""","=""3.1e-03""",D,"=""2.690431""","=""19.587268""","=""3d6""","=""a 3F""","=""3""","=""3d5.(b 2D).4p""","=""3F*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""733.8001""","=""1.7e+08""","=""2.3e-02""",D,"=""3.809472""","=""20.705654""","=""3d6""","=""3D""","=""1""","=""3d5.(b 2G).4p""","=""3F*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""734.2944""","=""1.7e+08""","=""1.6e-02""",D,"=""0.000000""","=""16.884808""","=""3d6""","=""5D""","=""4""","=""3d5.(4F).4p""","=""5F*""","=""5""",9,11,,"=""T6105""","=""L11223""",
"=""735.3436""","=""3.4e+07""","=""2.8e-03""",D,"=""0.000000""","=""16.860715""","=""3d6""","=""5D""","=""4""","=""3d5.(4F).4p""","=""5F*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""736.4750""","=""1.0e+08""","=""1.1e-02""",D,"=""3.808296""","=""20.643111""","=""3d6""","=""3D""","=""2""","=""3d5.(b 2G).4p""","=""3F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""737.7098""","=""2.6e+08""","=""2.7e-02""",D,"=""0.054081""","=""16.860715""","=""3d6""","=""5D""","=""3""","=""3d5.(4F).4p""","=""5F*""","=""4""",7,9,,"=""T6105""","=""L11223""",
"=""738.7453""","=""2.0e+08""","=""2.1e-02""",D,"=""3.825866""","=""20.608944""","=""3d6""","=""3D""","=""3""","=""3d5.(b 2G).4p""","=""3F*""","=""4""",7,9,,"=""T6105""","=""L11223""",
"=""739.2621""","=""2.7e+08""","=""3.1e-02""",D,"=""0.091608""","=""16.862954""","=""3d6""","=""5D""","=""2""","=""3d5.(4F).4p""","=""5F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""739.7247""","=""2.0e+08""","=""2.8e-02""",D,"=""0.115618""","=""16.876475""","=""3d6""","=""5D""","=""1""","=""3d5.(4F).4p""","=""5F*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""746.2458""","=""1.8e+08""","=""1.2e-02""",D,"=""3.044858""","=""19.659249""","=""3d6""","=""3G""","=""5""","=""3d5.(b 2D).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""747.4500""","=""6.e+07""","=""4.0e-03""",D,"=""3.092305""","=""19.679929""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2D).4p""","=""3D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""751.4274""","=""7.e+08""","=""4.9e-02""",D+,"=""6.233453""","=""22.733276""","=""3d6""","=""b 3F""","=""4""","=""3d5.(2P).4p""","=""3D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""751.6488""","=""1.3e+08""","=""8.e-03""",D,"=""3.092305""","=""19.587268""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2D).4p""","=""3F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""754.4775""","=""1.7e+08""","=""1.0e-02""",D,"=""3.117226""","=""19.55035""","=""3d6""","=""3G""","=""3""","=""3d5.(b 2D).4p""","=""3F*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""754.7937""","=""7.e+08""","=""3.8e-02""",D,"=""6.222143""","=""22.648380""","=""3d6""","=""b 3F""","=""2""","=""3d5.(2P).4p""","=""3D*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""774.7237""","=""7.e+08""","=""2.1e-02""",D,"=""6.146798""","=""22.150464""","=""3d6""","=""b 3P""","=""1""","=""3d5.(2P).4p""","=""3P*""","=""0""",3,1,,"=""T6105""","=""L11223""",
"=""778.7301""","=""2.2e+08""","=""1.2e-02""",D,"=""6.250285""","=""22.171617""","=""3d6""","=""b 3P""","=""2""","=""3d5.(2P).4p""","=""3P*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""779.8406""","=""5.e+07""","=""6.e-03""",D,"=""2.405841""","=""18.304501""","=""3d6""","=""a 3P""","=""2""","=""3d5.(b 2F).4p""","=""3D*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""782.0342""","=""1.8e+08""","=""1.6e-02""",D,"=""3.825866""","=""19.679929""","=""3d6""","=""3D""","=""3""","=""3d5.(b 2D).4p""","=""3D*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""783.0808""","=""1.7e+08""","=""1.6e-02""",D,"=""3.808296""","=""19.641170""","=""3d6""","=""3D""","=""2""","=""3d5.(b 2D).4p""","=""3D*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""784.1170""","=""1.8e+08""","=""1.6e-02""",D,"=""3.809472""","=""19.621423""","=""3d6""","=""3D""","=""1""","=""3d5.(b 2D).4p""","=""3D*""","=""1""",3,3,,"=""T6105""","=""L11223""",
"=""785.7559""","=""9.e+07""","=""1.2e-02""",D,"=""3.808296""","=""19.587268""","=""3d6""","=""3D""","=""2""","=""3d5.(b 2D).4p""","=""3F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""787.6577""","=""1.0e+08""","=""1.5e-02""",D,"=""3.809472""","=""19.55035""","=""3d6""","=""3D""","=""1""","=""3d5.(b 2D).4p""","=""3F*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""791.8801""","=""2.9e+08""","=""2.8e-02""",D,"=""4.439007""","=""20.095948""","=""3d6""","=""a 1D""","=""2""","=""3d5.(b 2D).4p""","=""1D*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""792.5573""","=""1.1e+08""","=""8.e-03""",D,"=""2.660939""","=""18.304501""","=""3d6""","=""a 3F""","=""4""","=""3d5.(b 2F).4p""","=""3D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""794.0031""","=""3.7e+07""","=""4.3e-03""",D,"=""2.660939""","=""18.276016""","=""3d6""","=""a 3F""","=""4""","=""3d5.(b 2F).4p""","=""3G*""","=""5""",9,11,,"=""T6105""","=""L11223""",
"=""794.1879""","=""1.1e+08""","=""7.e-03""",D,"=""2.690431""","=""18.301874""","=""3d6""","=""a 3F""","=""3""","=""3d5.(b 2F).4p""","=""3D*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""795.5499""","=""1.2e+08""","=""7.e-03""",D,"=""2.709933""","=""18.294648""","=""3d6""","=""a 3F""","=""2""","=""3d5.(b 2F).4p""","=""3D*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""802.1316""","=""3.1e+07""","=""2.4e-03""",D,"=""2.516952""","=""17.973792""","=""3d6""","=""3H""","=""5""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""808.0767""","=""8.e+07""","=""6.e-03""",D,"=""0.000000""","=""15.343123""","=""3d6""","=""5D""","=""4""","=""3d5.(4D).4p""","=""5P*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""809.6741""","=""1.5e+08""","=""1.5e-02""",D,"=""2.660939""","=""17.973792""","=""3d6""","=""a 3F""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""811.2307""","=""5.e+07""","=""5.e-03""",D,"=""2.486052""","=""17.769521""","=""3d6""","=""3H""","=""6""","=""3d5.(a 2G).4p""","=""3H*""","=""6""",13,13,,"=""T6105""","=""L11223""",
"=""811.2869""","=""1.9e+08""","=""1.3e-02""",D,"=""0.054081""","=""15.336492""","=""3d6""","=""5D""","=""3""","=""3d5.(4D).4p""","=""5P*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""813.8633""","=""2.0e+08""","=""2.0e-02""",D,"=""2.690431""","=""17.924464""","=""3d6""","=""a 3F""","=""3""","=""3d5.(b 2F).4p""","=""3F*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""813.8663""","=""6.e+07""","=""6.e-03""",D,"=""2.660939""","=""17.894916""","=""3d6""","=""a 3F""","=""4""","=""3d5.(b 2F).4p""","=""1G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""814.2378""","=""2.8e+08""","=""1.6e-02""",D,"=""0.091608""","=""15.318635""","=""3d6""","=""5D""","=""2""","=""3d5.(4D).4p""","=""5P*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""815.3634""","=""2.3e+08""","=""2.3e-02""",D,"=""2.709933""","=""17.915937""","=""3d6""","=""a 3F""","=""2""","=""3d5.(b 2F).4p""","=""3F*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""815.6095""","=""1.0e+08""","=""1.0e-02""",D,"=""2.516952""","=""17.718370""","=""3d6""","=""3H""","=""5""","=""3d5.(a 2G).4p""","=""3H*""","=""5""",11,11,,"=""T6105""","=""L11223""",
"=""816.1710""","=""7.e+08""","=""2.3e-02""",D,"=""0.115618""","=""15.306577""","=""3d6""","=""5D""","=""1""","=""3d5.(4D).4p""","=""5D*""","=""0""",3,1,,"=""T6105""","=""L11223""",
"=""816.2728""","=""1.3e+08""","=""1.7e-02""",D,"=""0.054081""","=""15.243146""","=""3d6""","=""5D""","=""3""","=""3d5.(4D).4p""","=""5D*""","=""4""",7,9,,"=""T6105""","=""L11223""",
"=""817.0369""","=""2.1e+08""","=""2.1e-02""",D,"=""0.054081""","=""15.228939""","=""3d6""","=""5D""","=""3""","=""3d5.(4D).4p""","=""5D*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""817.1687""","=""1.1e+08""","=""1.1e-02""",D,"=""2.539410""","=""17.711821""","=""3d6""","=""3H""","=""4""","=""3d5.(a 2G).4p""","=""3H*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""817.3491""","=""6.e+07""","=""5.e-03""",D,"=""0.000000""","=""15.169064""","=""3d6""","=""5D""","=""4""","=""3d5.(4P).4p""","=""3D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""818.5984""","=""1.1e+08""","=""1.1e-02""",D,"=""0.091608""","=""15.237522""","=""3d6""","=""5D""","=""2""","=""3d5.(4P).4p""","=""3D*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""818.9708""","=""1.5e+08""","=""9.e-03""",D,"=""0.091608""","=""15.230633""","=""3d6""","=""5D""","=""2""","=""3d5.(4D).4p""","=""5D*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""819.0625""","=""9.e+07""","=""1.3e-02""",D,"=""0.091608""","=""15.228939""","=""3d6""","=""5D""","=""2""","=""3d5.(4D).4p""","=""5D*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""819.8981""","=""8.e+07""","=""1.4e-02""",D,"=""0.115618""","=""15.237522""","=""3d6""","=""5D""","=""1""","=""3d5.(4P).4p""","=""3D*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""820.2735""","=""1.5e+08""","=""1.5e-02""",D,"=""0.054081""","=""15.169064""","=""3d6""","=""5D""","=""3""","=""3d5.(4P).4p""","=""3D*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""820.9097""","=""1.8e+08""","=""5.e-02""",D,"=""0.12736""","=""15.230633""","=""3d6""","=""5D""","=""0""","=""3d5.(4D).4p""","=""5D*""","=""1""",1,3,,"=""T6105""","=""L11223""",
"=""822.3151""","=""1.2e+08""","=""1.7e-02""",D,"=""0.091608""","=""15.169064""","=""3d6""","=""5D""","=""2""","=""3d5.(4P).4p""","=""3D*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""830.4960""","=""2.8e+07""","=""2.4e-03""",D,"=""3.044858""","=""17.973792""","=""3d6""","=""3G""","=""5""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""831.4623""","=""8.e+07""","=""1.2e-02""",D,"=""0.091608""","=""15.003193""","=""3d6""","=""5D""","=""2""","=""3d5.(4D).4p""","=""5F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""832.3273""","=""1.1e+08""","=""1.3e-02""",D,"=""2.486052""","=""17.382140""","=""3d6""","=""3H""","=""6""","=""3d5.(2H).4p""","=""3I*""","=""7""",13,15,,"=""T6105""","=""L11223""",
"=""832.6568""","=""3.4e+07""","=""2.7e-03""",D,"=""3.092305""","=""17.982497""","=""3d6""","=""3G""","=""4""","=""3d5.(a 2G).4p""","=""1F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""833.3005""","=""4.0e+07""","=""3.2e-03""",D,"=""2.660939""","=""17.539629""","=""3d6""","=""a 3F""","=""4""","=""3d5.(4F).4p""","=""3D*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""833.5319""","=""7.e+07""","=""5.e-03""",D,"=""2.539410""","=""17.413970""","=""3d6""","=""3H""","=""4""","=""3d5.(a 2F).4p""","=""1F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""834.0713""","=""8.e+07""","=""1.3e-02""",D,"=""0.115618""","=""14.980557""","=""3d6""","=""5D""","=""1""","=""3d5.(4D).4p""","=""5F*""","=""2""",3,5,,"=""T6105""","=""L11223""",
"=""834.9694""","=""9.e+07""","=""9.e-03""",D,"=""0.115618""","=""14.964569""","=""3d6""","=""5D""","=""1""","=""3d5.(4D).4p""","=""5F*""","=""1""",3,3,,"=""T6105""","=""L11223""",
"=""835.6304""","=""8.e+07""","=""2.5e-02""",D,"=""0.12736""","=""14.964569""","=""3d6""","=""5D""","=""0""","=""3d5.(4D).4p""","=""5F*""","=""1""",1,3,,"=""T6105""","=""L11223""",
"=""835.9147""","=""6.e+07""","=""5.e-03""",D,"=""3.092305""","=""17.924464""","=""3d6""","=""3G""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""836.5009""","=""8.e+07""","=""1.0e-02""",D,"=""2.516952""","=""17.338718""","=""3d6""","=""3H""","=""5""","=""3d5.(2H).4p""","=""3I*""","=""6""",11,13,,"=""T6105""","=""L11223""",
"=""836.5327""","=""3.0e+08""","=""3.1e-02""",D,"=""2.660939""","=""17.482140""","=""3d6""","=""a 3F""","=""4""","=""3d5.(a 2G).4p""","=""3F*""","=""4""",9,9,,"=""u45""","=""L11223""",
"=""836.6273""","=""9.e+07""","=""8.e-03""",D,"=""3.044858""","=""17.864385""","=""3d6""","=""3G""","=""5""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""837.8040""","=""1.6e+08""","=""1.2e-02""",D,"=""3.117226""","=""17.915937""","=""3d6""","=""3G""","=""3""","=""3d5.(b 2F).4p""","=""3F*""","=""2""",7,5,,"=""T6105""","=""L11223""",
"=""838.0451""","=""2.6e+08""","=""2.7e-02""",D,"=""3.044858""","=""17.839313""","=""3d6""","=""3G""","=""5""","=""3d5.(a 2G).4p""","=""3G*""","=""5""",11,11,,"=""u45""","=""L11223""",
"=""838.0500""","=""3.7e+08""","=""3.2e-02""",D,"=""2.516952""","=""17.311320""","=""3d6""","=""3H""","=""5""","=""3d5.(4F).4p""","=""3G*""","=""4""",11,9,,"=""u45""","=""L11223""",
"=""838.2006""","=""2.1e+07""","=""2.8e-03""",D,"=""2.690431""","=""17.482140""","=""3d6""","=""a 3F""","=""3""","=""3d5.(a 2G).4p""","=""3F*""","=""4""",7,9,,"=""T6105""","=""L11223""",
"=""838.8639""","=""1.1e+08""","=""1.1e-02""",D,"=""2.516952""","=""17.296966""","=""3d6""","=""3H""","=""5""","=""3d5.(2H).4p""","=""3I*""","=""5""",11,11,,"=""T6105""","=""L11223""",
"=""838.9357""","=""3.4e+08""","=""2.8e-02""",D,"=""2.539410""","=""17.318159""","=""3d6""","=""3H""","=""4""","=""3d5.(4F).4p""","=""3G*""","=""3""",9,7,,"=""u45""","=""L11223""",
"=""839.0073""","=""8.e+08""","=""6.e-02""",D,"=""5.318460""","=""20.095948""","=""3d6""","=""1F""","=""3""","=""3d5.(b 2D).4p""","=""1D*""","=""2""",7,5,,"=""u45""","=""L11223""",
"=""839.0997""","=""1.0e+08""","=""8.e-03""",D,"=""3.092305""","=""17.868165""","=""3d6""","=""3G""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""839.3144""","=""2.2e+08""","=""2.3e-02""",D,"=""3.092305""","=""17.864385""","=""3d6""","=""3G""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""839.3241""","=""5.e+07""","=""6.e-03""",D,"=""2.539410""","=""17.311320""","=""3d6""","=""3H""","=""4""","=""3d5.(4F).4p""","=""3G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""840.3814""","=""3.5e+08""","=""3.7e-02""",D,"=""2.690431""","=""17.443756""","=""3d6""","=""a 3F""","=""3""","=""3d5.(a 2G).4p""","=""3F*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""840.5173""","=""2.8e+08""","=""2.9e-02""",D,"=""3.117226""","=""17.868165""","=""3d6""","=""3G""","=""3""","=""3d5.(a 2G).4p""","=""3G*""","=""3""",7,7,,"=""T6105""","=""L11223""",
"=""840.6270""","=""4.4e+07""","=""4.6e-03""",D,"=""0.091608""","=""14.840622""","=""3d6""","=""5D""","=""2""","=""3d5.(4P).4p""","=""3P*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""840.7328""","=""5.e+07""","=""6.e-03""",D,"=""3.117226""","=""17.864385""","=""3d6""","=""3G""","=""3""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",7,9,,"=""T6105""","=""L11223""",
"=""841.0869""","=""3.2e+08""","=""3.4e-02""",D,"=""2.709933""","=""17.450883""","=""3d6""","=""a 3F""","=""2""","=""3d5.(a 2G).4p""","=""3F*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""841.4937""","=""2.6e+07""","=""3.8e-03""",D,"=""2.709933""","=""17.443756""","=""3d6""","=""a 3F""","=""2""","=""3d5.(a 2G).4p""","=""3F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
"=""841.6841""","=""2.0e+08""","=""2.1e-02""",D,"=""3.808296""","=""18.538787""","=""3d6""","=""3D""","=""2""","=""3d5.(2S).4p""","=""3P*""","=""2""",5,5,,"=""T6105""","=""L11223""",
"=""842.0173""","=""2.0e+08""","=""2.5e-02""",D,"=""3.044858""","=""17.769521""","=""3d6""","=""3G""","=""5""","=""3d5.(a 2G).4p""","=""3H*""","=""6""",11,13,,"=""u45""","=""L11223""",
"=""842.6892""","=""7.e+08""","=""5.2e-02""",D,"=""3.825866""","=""18.538787""","=""3d6""","=""3D""","=""3""","=""3d5.(2S).4p""","=""3P*""","=""2""",7,5,,"=""u45""","=""L11223""",
"=""844.2860""","=""9.e+08""","=""7.e-02""",D+,"=""0.000000""","=""14.685094""","=""3d6""","=""5D""","=""4""","=""3d5.(4G).4p""","=""3F*""","=""3""",9,7,,"=""u45""","=""L11223""",
"=""844.8425""","=""9.e+07""","=""1.0e-02""",D,"=""2.660939""","=""17.336361""","=""3d6""","=""a 3F""","=""4""","=""3d5.(a 2G).4p""","=""1G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""845.9291""","=""2.7e+08""","=""2.9e-02""",D+,"=""2.486052""","=""17.142623""","=""3d6""","=""3H""","=""6""","=""3d5.(2H).4p""","=""3H*""","=""6""",13,13,,"=""T6105""","=""L11223""",
"=""846.0291""","=""5.e+08""","=""3.5e-02""",D,"=""3.808296""","=""18.463134""","=""3d6""","=""3D""","=""2""","=""3d5.(2S).4p""","=""3P*""","=""1""",5,3,,"=""T6105""","=""L11223""",
"=""846.0970""","=""3.3e+08""","=""3.5e-02""",D,"=""3.809472""","=""18.463134""","=""3d6""","=""3D""","=""1""","=""3d5.(2S).4p""","=""3P*""","=""1""",3,3,,"=""T6105""","=""L11223""",
"=""846.5310""","=""4.1e+08""","=""2.6e-02""",D,"=""0.091608""","=""14.737759""","=""3d6""","=""5D""","=""2""","=""3d5.(4P).4p""","=""5P*""","=""1""",5,3,,"=""T6105""","=""L11223""",
