ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""4901.34""","=""1.5e-01""","=""""",E,"=""4.00380""","=""6.53340""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""4F""","=""7/2""",10,8,E2,"=""T492""","=""""",
"=""4904.44""","=""6.7e-02""","=""""",E,"=""4.00540""","=""6.53340""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""4F""","=""7/2""",8,8,E2,"=""T492""","=""""",
"=""4904.44""","=""1.3e-01""","=""""",D,"=""4.00540""","=""6.53340""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""4F""","=""7/2""",8,8,M1,"=""T492""","=""""",
"=""4907.93""","=""2.1e-01""","=""""",E,"=""3.99793""","=""6.52414""","=""3d5""","=""4G""","=""11/2""","=""3d5""","=""4F""","=""9/2""",12,10,E2,"=""T492""","=""""",
"=""4907.93""","=""1.1e-01""","=""""",D,"=""3.99793""","=""6.52414""","=""3d5""","=""4G""","=""11/2""","=""3d5""","=""4F""","=""9/2""",12,10,M1,"=""T492""","=""""",
"=""4919.35""","=""7.3e-02""","=""""",D,"=""4.00380""","=""6.52414""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""4F""","=""9/2""",10,10,M1,"=""T492""","=""""",
"=""4919.35""","=""4.5e-02""","=""""",E,"=""4.00380""","=""6.52414""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""4F""","=""9/2""",10,10,E2,"=""T492""","=""""",
"=""5033.85""","=""2.1e-01""","=""""",D,"=""4.00484""","=""6.46785""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""2F2""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""5034.99""","=""4.7e-01""","=""""",D,"=""4.00540""","=""6.46785""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""2F2""","=""5/2""",8,6,M1,"=""T492""","=""""",
"=""5235.22""","=""5.0e-01""","=""""",D,"=""4.00380""","=""6.37207""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""2F2""","=""7/2""",10,8,M1,"=""T492""","=""""",
"=""5237.52""","=""1.5e-02""","=""""",D,"=""4.00484""","=""6.37207""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""2F2""","=""7/2""",6,8,M1,"=""T492""","=""""",
"=""5238.76""","=""8.0e-02""","=""""",D,"=""4.00540""","=""6.37207""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""2F2""","=""7/2""",8,8,M1,"=""T492""","=""""",
"=""5912.6""","=""8.7e-02""","=""""",D,"=""4.37091""","=""6.46785""","=""3d5""","=""4P""","=""5/2""","=""3d5""","=""2F2""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""5940.6""","=""1.3e-02""","=""""",D,"=""4.38077""","=""6.46785""","=""3d5""","=""4P""","=""3/2""","=""3d5""","=""2F2""","=""5/2""",4,6,M1,"=""T492""","=""""",
"=""7113.1""","=""2.8e-02""","=""""",D,"=""4.80803""","=""6.55108""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""4F""","=""5/2""",8,6,M1,"=""T492""","=""""",
"=""7173.4""","=""1.0e-01""","=""""",D,"=""4.82258""","=""6.55097""","=""3d5""","=""4D""","=""1/2""","=""3d5""","=""4F""","=""3/2""",2,4,M1,"=""T492""","=""""",
"=""7186.0""","=""1.1e-02""","=""""",E,"=""4.80803""","=""6.53340""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""4F""","=""7/2""",8,8,E2,"=""T492""","=""""",
"=""7186.0""","=""1.0e-01""","=""""",D,"=""4.80803""","=""6.53340""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""4F""","=""7/2""",8,8,M1,"=""T492""","=""""",
"=""7192.7""","=""1.8e-01""","=""""",D,"=""4.82734""","=""6.55108""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""4F""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""7192.7""","=""1.2e-02""","=""""",E,"=""4.82734""","=""6.55108""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""4F""","=""5/2""",6,6,E2,"=""T492""","=""""",
"=""7193.2""","=""3.9e-02""","=""""",D,"=""4.82734""","=""6.55097""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""4F""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""7194.3""","=""2.3e-02""","=""""",D,"=""4.82772""","=""6.55108""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""4F""","=""5/2""",4,6,M1,"=""T492""","=""""",
"=""7194.8""","=""1.6e-01""","=""""",D,"=""4.82772""","=""6.55097""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""4F""","=""3/2""",4,4,M1,"=""T492""","=""""",
"=""7194.8""","=""1.6e-02""","=""""",E,"=""4.82772""","=""6.55097""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""4F""","=""3/2""",4,4,E2,"=""T492""","=""""",
"=""7224.8""","=""1.4e-01""","=""""",D,"=""4.80803""","=""6.52414""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""4F""","=""9/2""",8,10,M1,"=""T492""","=""""",
"=""7224.8""","=""2.3e-02""","=""""",E,"=""4.80803""","=""6.52414""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""4F""","=""9/2""",8,10,E2,"=""T492""","=""""",
"=""7557.7""","=""2.2e-02""","=""""",D,"=""4.82734""","=""6.46785""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""2F2""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""7559.4""","=""2.1e-02""","=""""",D,"=""4.82772""","=""6.46785""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""2F2""","=""5/2""",4,6,M1,"=""T492""","=""""",
"=""7706.2""","=""1.8e-01""","=""""",D,"=""7.58244""","=""9.19133""","=""3d5""","=""2F1""","=""5/2""","=""3d5""","=""2D2""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""7727.9""","=""1.0e-01""","=""""",D,"=""7.58244""","=""9.18681""","=""3d5""","=""2F1""","=""5/2""","=""3d5""","=""2D2""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""7764.8""","=""1.0e-01""","=""""",D,"=""7.59458""","=""9.19133""","=""3d5""","=""2F1""","=""7/2""","=""3d5""","=""2D2""","=""5/2""",8,6,M1,"=""T492""","=""""",
"=""7927.2""","=""1.0e-01""","=""""",D,"=""4.80803""","=""6.37207""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""2F2""","=""7/2""",8,8,M1,"=""T492""","=""""",
"=""8026.3""","=""3.4e-02""","=""""",D,"=""4.82734""","=""6.37207""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""2F2""","=""7/2""",6,8,M1,"=""T492""","=""""",
"=""9396.2""","=""3.6e-02""","=""""",D,"=""5.83700""","=""7.15652""","=""3d5""","=""2I""","=""11/2""","=""3d5""","=""2G2""","=""9/2""",12,10,M1,"=""T492""","=""""",
